Name,Category,Latitude,Longitude,Address,Phone,Website,Email,OSM_ID
Unnamed Location,school,12.8772119,77.6025994,,,,,247966855
Angel Heart Montessori Play School,school,12.9187503,77.6518327,,,,,263472508
Swamy Vivekananda Primary and High School,school,13.0483112,77.6342169,,,,,391929291
Golden Chariot Public School,school,13.0989262,77.6350463,,,,,410861199
Manasa Public School,school,13.0557708,77.6327504,,,,,412681648
United Public School,school,13.0384174,77.6387738,,,,,417894271
Sinclairs High School,school,13.0317498,77.6437784,,,,,443615521
Sacred Hearts Girls School,school,12.9694218,77.6033897,,,,,459811954
Gopalan International Schoool,school,12.9853135,77.7183757,"Basava Nagar Main Road, Hoodi, Mahadevapura, Bangalore, 560048",,,,514307734
Hoodi High School,school,12.9934221,77.7167666,Hoodi Main Road,,,,518624061
Carmel High School,school,12.9885908,77.5442935,,,,,529780984
Stella Maris School,school,13.0064539,77.5780313,Sankey Tank Road,,,,573333532
Madrasa-e Arabiya,school,12.9430867,77.5994637,,,,,579371985
B. P. Indian,school,13.0011737,77.5683395,,,,,598212615
Father Mathews School,school,13.0457661,77.5416305,,,,,598947938
Vani Vilas,school,13.0092653,77.5621798,,,,,608492745
St. Sara's School,school,12.946945,77.6175314,,,,,662761071
Deccan school,school,12.9921674,77.5683888,,,,,663604695
Anganavadi,school,12.991587,77.5684205,,,,,663604698
Government School,school,12.9496275,77.6139658,,,,,663604709
Methodist church school,school,12.9497624,77.6143357,,,,,663604710
Adithya public school,school,12.9499206,77.6151518,,,,,663604714
Nagasena Vidyalaya,school,13.0140892,77.5760778,CV Raman Avenue,,,,663920339
Advanced Animation Academy,school,13.0089647,77.580665,,,,,664332022
Vasavi Education Trust School,school,12.9081457,77.5929709,,,,,665727324
Naasih Montessori Public School,school,13.0016772,77.6138117,,,,,859809191
"St Josephs Eng Pri Sch, B T M Layout W No 65",school,12.9141469,77.6116922,,,,,949313546
Auden Public School,school,12.9381024,77.543378,,,,,953435253
Auden School,school,12.9323436,77.5437984,,,,,953685844
Drishya,school,13.1048022,77.5810644,,,,,959252342
SM English School,school,12.9846765,77.7183953,"Basava Nagar Main Road, Hoodi, Mahadevapura, Bangalore, 560048",,,,962904402
Mother Montessori House of Children Pre-school,school,12.985118,77.679021,,,,,986732874
LR International School,school,12.977267,77.679729,,,,,986744080
Holy Saint English School,school,12.9217736,77.5925109,,,,,1015924248
Saraswati Vidya Mandir,school,12.9340338,77.5874849,,,,,1015924266
Good Shepherd School,school,12.9229013,77.5816474,,,,,1015924294
Nehru Smaraka Vidya Kendra,school,12.9271452,77.5778773,,,,,1015924308
Community English High School,school,12.9387689,77.5841184,,,,,1015924313
The Dunmore House Preschool,school,12.9633529,77.7314283,,,,,1066041424
Neev School,school,12.9625721,77.7476906,,,,,1078316967
Bangalore International Public School,school,12.9095131,77.5502862,Uttarahalli Main Road,,,,1085786963
